date,home_team,away_team,home_win_odd,draw_odd,away_win_odd
2018-06-14,Russia,Saudi Arabia,1.35,4.72,11.78
2018-06-15,Egypt,Uruguay,7.10,3.77,1.59
2018-06-15,Morocco,Iran,2.37,2.96,3.58
2018-06-15,Portugal,Spain,4.25,3.44,1.95
2018-06-16,France,Australia,1.23,6.41,15.65
2018-06-16,Argentina,Iceland,1.35,4.81,11.06
2018-06-16,Peru,Denmark,3.79,3.31,2.12
2018-06-16,Croatia,Nigeria,1.88,3.46,4.62
2018-06-17,Costa Rica,Serbia,4.07,3.25,2.07
2018-06-17,Germany,Mexico,1.46,4.43,7.81
2018-06-17,Brazil,Switzerland,1.39,4.75,9.34
2018-06-18,Sweden,Korea Republic,2.11,3.32,3.82
2018-06-18,Belgium,Panama,1.16,7.69,23.37
2018-06-18,Tunisia,England,9.85,4.90,1.37
2018-06-19,Colombia,Japan,1.76,3.63,5.25
2018-06-19,Poland,Senegal,2.35,3.21,3.31
2018-06-19,Russia,Egypt,1.85,3.49,4.61
2018-06-20,Portugal,Morocco,1.55,3.92,6.92
2018-06-20,Uruguay,Saudi Arabia,1.26,5.73,13.82
2018-06-20,Iran,Spain,17.21,6.59,1.20
2018-06-21,Denmark,Australia,1.73,3.66,5.22
2018-06-21,France,Peru,1.36,4.86,9.59
2018-06-21,Argentina,Croatia,1.90,3.47,4.34
2018-06-22,Brazil,Costa Rica,1.24,6.31,12.99
2018-06-22,Nigeria,Iceland,2.78,3.10,2.78
2018-06-22,Serbia,Switzerland,2.91,3.17,2.61
2018-06-23,Belgium,Tunisia,1.28,5.65,12.16
2018-06-23,Korea Republic,Mexico,4.29,3.32,1.96
2018-06-23,Germany,Sweden,1.50,4.26,7.02
2018-06-24,England,Panama,1.20,6.54,17.29
2018-06-24,Japan,Senegal,3.34,3.22,2.31
2018-06-24,Poland,Colombia,3.07,3.19,2.46
2018-06-25,Saudi Arabia,Egypt,5.14,3.54,1.75
2018-06-25,Uruguay,Russia,2.49,3.15,3.04
2018-06-25,Iran,Portugal,9.21,4.73,1.38
2018-06-25,Spain,Morocco,1.38,4.62,9.50
2018-06-26,Australia,Peru,3.44,3.29,2.21
2018-06-26,Denmark,France,5.58,3.75,1.67
2018-06-26,Iceland,Croatia,4.71,3.50,1.82
2018-06-26,Nigeria,Argentina,7.27,4.39,1.47
2018-06-27,Mexico,Sweden,2.50,3.17,3.01
2018-06-27,Korea Republic,Germany,11.74,5.53,1.28
2018-06-27,Serbia,Brazil,8.99,4.83,1.38
2018-06-27,Switzerland,Costa Rica,1.88,3.41,4.51
2018-06-28,Japan,Poland,4.35,3.48,1.89
2018-06-27,Senegal,Colombia,4.08,3.33,1.99
2018-06-27,England,Belgium,2.94,3.33,2.46
2018-06-27,Panama,Tunisia,3.37,3.22,2.28